route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     
40T0010C4  ,C4  ,Xirivella - L'Alter                     -Valencia - Sant Isidre                  ,2,FF0000,000000                                    
40T0011C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,00FF00,000000                                    
40T0012C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,00FF00,000000                                    
40T0013C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,3366FF,000000                                    
40T0014C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,3366FF,000000                                    
40T0015C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,3366FF,000000                                    
40T0016C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,3366FF,000000                                    
40T0017C3  ,C3  ,Valencia Nord                           -Utiel                                   ,2,CC00CC,000000                                    
40T0018C3  ,C3  ,Utiel                                   -Valencia Nord                           ,2,CC00CC,000000                                    
40T0019C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,00FF00,000000                                    
40T0020C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,00FF00,000000                                    
40T0021C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,3366FF,000000                                    
40T0022C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,3366FF,000000                                    
41T0001C1  ,C1  ,Murcia del Carmen                       -Alacant Terminal                        ,2,00FFFF,000000                                    
41T0002C1  ,C1  ,Alacant Terminal                        -Murcia del Carmen                       ,2,00FFFF,000000                                    
41T0003C2  ,C2  ,Murcia del Carmen                       -Aguilas                                 ,2,00FF00,000000                                    
41T0004C2  ,C2  ,Aguilas                                 -Murcia del Carmen                       ,2,00FF00,000000                                    
41T0005C3  ,C3  ,Sant Vicent Centre                      -Alacant Terminal                        ,2,CC00CC,000000                                    
41T0006C3  ,C3  ,Alacant Terminal                        -Sant Vicent Centre                      ,2,CC00CC,000000                                    
41T0007C2  ,C2  ,Murcia del Carmen                       -Aguilas                                 ,2,00FF00,000000                                    
41T0008C2  ,C2  ,Aguilas                                 -Murcia del Carmen                       ,2,00FF00,000000                                    
41T0009C2  ,C2  ,Murcia del Carmen                       -Orihuela Miguel Hernández               ,2,00FF00,000000                                    
41T0010C2  ,C2  ,Orihuela Miguel Hernández               -Murcia del Carmen                       ,2,00FF00,000000                                    
50T0001R1  ,R1  ,Molins de Rei                           -Maçanet-Massanes                        ,2,00FFFF,000000                                    
50T0002R1  ,R1  ,Maçanet-Massanes                        -Molins de Rei                           ,2,00FFFF,000000                                    
50T0003R2N ,R2N ,Aeroport                                -Maçanet-Massanes                        ,2,00FFFF,000000                                    
50T0004R2N ,R2N ,Maçanet-Massanes                        -Aeroport                                ,2,00FFFF,000000                                    
50T0005R4  ,R4  ,Sant Vicenc de Calders                  -Manresa                                 ,2,FF9900,000000                                    
